Timestamp,X,Y,Count
2014-06-06 08:15:00,0,67,174
2014-06-06 08:15:00,1,66,72
2014-06-06 08:15:00,1,67,100
2014-06-06 08:15:00,2,66,95
2014-06-06 08:15:00,2,67,77
2014-06-06 08:15:00,3,66,96
2014-06-06 08:15:00,3,67,74
2014-06-06 08:15:00,4,66,78
2014-06-06 08:15:00,4,67,75
2014-06-06 08:15:00,5,66,73
2014-06-06 08:15:00,5,67,80
2014-06-06 08:15:00,6,43,8
2014-06-06 08:15:00,6,66,76
2014-06-06 08:15:00,6,67,77
2014-06-06 08:15:00,7,42,2
2014-06-06 08:15:00,7,43,2
2014-06-06 08:15:00,7,66,88
2014-06-06 08:15:00,7,67,64
2014-06-06 08:15:00,8,42,2
2014-06-06 08:15:00,8,43,2
2014-06-06 08:15:00,8,66,75
2014-06-06 08:15:00,8,67,76
2014-06-06 08:15:00,9,43,4
2014-06-06 08:15:00,9,66,76
2014-06-06 08:15:00,9,67,69
2014-06-06 08:15:00,10,42,2
2014-06-06 08:15:00,10,44,2
2014-06-06 08:15:00,10,66,74
2014-06-06 08:15:00,10,67,67
2014-06-06 08:15:00,11,43,2
2014-06-06 08:15:00,11,44,2
2014-06-06 08:15:00,11,66,68
2014-06-06 08:15:00,11,67,71
2014-06-06 08:15:00,12,43,2
2014-06-06 08:15:00,12,44,2
2014-06-06 08:15:00,12,66,60
2014-06-06 08:15:00,12,67,74
2014-06-06 08:15:00,13,43,1
2014-06-06 08:15:00,13,44,3
2014-06-06 08:15:00,13,66,69
2014-06-06 08:15:00,13,67,65
2014-06-06 08:15:00,14,43,9
2014-06-06 08:15:00,14,44,11
2014-06-06 08:15:00,14,66,62
2014-06-06 08:15:00,14,67,64
2014-06-06 08:15:00,15,40,2
2014-06-06 08:15:00,15,41,13
2014-06-06 08:15:00,15,42,20
2014-06-06 08:15:00,15,43,16
2014-06-06 08:15:00,15,44,17
2014-06-06 08:15:00,15,45,35
2014-06-06 08:15:00,15,46,16
2014-06-06 08:15:00,15,47,1
2014-06-06 08:15:00,15,66,63
2014-06-06 08:15:00,15,67,61
2014-06-06 08:15:00,16,40,19
2014-06-06 08:15:00,16,41,24
2014-06-06 08:15:00,16,42,11
2014-06-06 08:15:00,16,43,9
2014-06-06 08:15:00,16,44,43
2014-06-06 08:15:00,16,45,36
2014-06-06 08:15:00,16,46,55
2014-06-06 08:15:00,16,47,32
2014-06-06 08:15:00,16,48,2
2014-06-06 08:15:00,16,49,6
2014-06-06 08:15:00,16,66,55
2014-06-06 08:15:00,16,67,69
2014-06-06 08:15:00,17,39,30
2014-06-06 08:15:00,17,40,13
2014-06-06 08:15:00,17,42,6
2014-06-06 08:15:00,17,43,58
2014-06-06 08:15:00,17,47,38
2014-06-06 08:15:00,17,48,69
2014-06-06 08:15:00,17,49,1
2014-06-06 08:15:00,17,50,2
2014-06-06 08:15:00,17,66,62
2014-06-06 08:15:00,17,67,70
2014-06-06 08:15:00,18,38,30
2014-06-06 08:15:00,18,49,68
2014-06-06 08:15:00,18,50,1
2014-06-06 08:15:00,18,51,2
2014-06-06 08:15:00,18,66,58
2014-06-06 08:15:00,18,67,63
2014-06-06 08:15:00,19,37,21
2014-06-06 08:15:00,19,38,5
2014-06-06 08:15:00,19,39,4
2014-06-06 08:15:00,19,50,68
2014-06-06 08:15:00,19,51,3
2014-06-06 08:15:00,19,66,59
2014-06-06 08:15:00,19,67,55
2014-06-06 08:15:00,20,36,19
